"trade_date","close","sma_30"
"1999-01-22","0.0376018","0.0376018"
"1999-01-25","0.0414991","0.03955045"
"1999-01-26","0.0382868","0.03912923333333334"
"1999-01-27","0.0382868","0.038918625000000005"
"1999-01-28","0.0380583","0.038746560000000006"
"1999-01-29","0.0362297","0.03832708333333334"
"1999-02-01","0.036919","0.03812592857142858"
"1999-02-02","0.0341571","0.037629825000000006"
"1999-02-03","0.0348559","0.03732161111111112"
"1999-02-04","0.0366834","0.03725779"
"1999-02-05","0.0378386","0.03731059090909091"
"1999-02-08","0.0364567","0.037239433333333335"
"1999-02-09","0.0350837","0.03707360769230769"
"1999-02-10","0.0348559","0.0369152"
"1999-02-11","0.0378386","0.036976760000000004"
"1999-02-12","0.0398945","0.03715911875"
"1999-02-16","0.0401271","0.037333705882352936"
"1999-02-17","0.0380583","0.037373961111111104"
"1999-02-18","0.0385123","0.03743387368421053"
"1999-02-19","0.0398945","0.037556904999999995"
"1999-02-22","0.0401271","0.03767929523809523"
"1999-02-23","0.0419634","0.03787402727272727"
"1999-02-24","0.0454024","0.03820134782608695"
"1999-02-25","0.0440182","0.03844371666666666"
"1999-02-26","0.0419634","0.03858450399999999"
"1999-03-01","0.04218","0.0387227923076923"
"1999-03-02","0.0417307","0.03883419629629629"
"1999-03-03","0.038972","0.03883911785714285"
"1999-03-04","0.0380583","0.03881219310344827"
"1999-03-05","0.0401271","0.03885602333333334"
"1999-03-08","0.0408112","0.038963003333333336"
"1999-03-09","0.04218","0.038985700000000005"
"1999-03-10","0.0414991","0.03909277666666667"
"1999-03-11","0.0396677","0.03913880666666667"
"1999-03-12","0.038972","0.039169263333333336"
"1999-03-15","0.0405864","0.03931448666666667"
"1999-03-16","0.0392015","0.03939057000000001"
"1999-03-17","0.0394331","0.03956643666666667"
"1999-03-18","0.0401271","0.03974214333333334"
"1999-03-19","0.0401271","0.03985693333333334"
"1999-03-22","0.038972","0.039894713333333345"
"1999-03-23","0.0364567","0.039894713333333345"
"1999-03-24","0.0362297","0.03993291333333335"
"1999-03-25","0.0366834","0.039993830000000015"
"1999-03-26","0.0401271","0.04007011333333335"
"1999-03-29","0.0412705","0.04011598000000002"
"1999-03-30","0.0378386","0.04003969666666669"
"1999-03-31","0.0403518","0.04011614666666668"
"1999-04-01","0.0392015","0.04013912000000001"
"1999-04-05","0.0380583","0.04007791333333335"
"1999-04-06","0.036919","0.03997097666666668"
